name,price,first_name,last_name,above_100
Sean Shields,247.8395255,Sean,Shields,true
Jessica Allison,104.742308,Jessica,Allison,true
Christian Grant,99.11707917,Christian,Grant,false
Edward Watson,180.3535589,Edward,Watson,true
Derrick Cooke,142.090116,Derrick,Cooke,true
Arthur Hall MD,235.9669749,Arthur,Hall MD,true
Sean Patrick,139.4507994,Sean,Patrick,true
Heather Collins,127.3925734,Heather,Collins,true
Megan Gomez,107.8624451,Megan,Gomez,true
William Hale,114.6709254,William,Hale,true
Olivia Thompson,8.608441014,Olivia,Thompson,false
Lori Torres,18.85827433,Lori,Torres,false
Vickie Hernandez,214.9321807,Vickie,Hernandez,true
Kimberly Brown,40.3199327,Kimberly,Brown,false
Sherry Meza,182.8545499,Sherry,Meza,true
Phillip Hansen,44.11611704,Phillip,Hansen,false
Jeanette Knight,28.68694329,Jeanette,Knight,false
Kayla Hanson,27.63036397,Kayla,Hanson,false
James Johnston,284.4290554,James,Johnston,true
Dr. John Porter,53.72799274,Dr.,John Porter,false
Elizabeth Reyes,93.68075684,Elizabeth,Reyes,false
Kristen Henry,77.00624357,Kristen,Henry,false
Claudia Anderson,160.3401593,Claudia,Anderson,true
Nicholas Webb,18.71038619,Nicholas,Webb,false
Allison Cooper,206.0421068,Allison,Cooper,true
Zachary Barnes,280.7741315,Zachary,Barnes,true
Gregory Hill III,265.9765808,Gregory,Hill III,true
Terry Ayers,16.51163899,Terry,Ayers,false
Jessica Wilson,290.4095461,Jessica,Wilson,true
Daniel Frazier,190.3291917,Daniel,Frazier,true
Brian Welch,218.2505083,Brian,Welch,true
Carol Chavez,123.1834427,Carol,Chavez,true
Ethan Mcdonald,214.3503174,Ethan,Mcdonald,true
Gerald Martinez,57.54786356,Gerald,Martinez,false
Eric King,59.87926423,Eric,King,false
Sylvia Walters,110.9463132,Sylvia,Walters,true
Jonathan Lane,64.46710142,Jonathan,Lane,false
Matthew Turner,180.2628702,Matthew,Turner,true
Jeffrey Bauer,30.51584181,Jeffrey,Bauer,false
Jessica Shaffer,54.90193651,Jessica,Shaffer,false
Chris Spencer,251.3752831,Chris,Spencer,true
Mary Clarke,236.0529879,Mary,Clarke,true
Timothy Mendoza,105.9834816,Timothy,Mendoza,true
Alicia Hoffman,182.343699,Alicia,Hoffman,true
Joseph Gardner,144.8091344,Joseph,Gardner,true
Rachael Rangel,297.9496406,Rachael,Rangel,true
Jeffrey Harrington,194.2716338,Jeffrey,Harrington,true
Sophia Randolph,158.543126,Sophia,Randolph,true
Debbie Freeman,275.8719167,Debbie,Freeman,true
Matthew Braun,201.7749657,Matthew,Braun,true
Sheri Hudson,268.3748402,Sheri,Hudson,true
Mary King,204.0785754,Mary,King,true
Beth Davis,155.0680648,Beth,Davis,true
Margaret Castillo,193.9063244,Margaret,Castillo,true
Tommy Sandoval,172.283041,Tommy,Sandoval,true
Christopher Hines,46.55435299,Christopher,Hines,false
Richard Wright,208.3596969,Richard,Wright,true
Michael Brown,278.5230886,Michael,Brown,true
Nathan Yu,134.1895098,Nathan,Yu,true
Cameron Ford,248.8921382,Cameron,Ford,true
Carla Hayes,265.3745759,Carla,Hayes,true
Marissa Matthews,136.0925777,Marissa,Matthews,true
Dr. Samuel Thompson,237.1592416,Dr.,Samuel Thompson,true
Gary Figueroa,168.9447684,Gary,Figueroa,true
Michael West,146.8886849,Michael,West,true
Martin Walton,140.3400576,Martin,Walton,true
Zachary Lee,8.667301583,Zachary,Lee,false
Christopher Stephenson,67.01185633,Christopher,Stephenson,false
Eric Ortiz,117.7242458,Eric,Ortiz,true
Kara Pittman,56.23964364,Kara,Pittman,false
Andrew Cowan,295.9391812,Andrew,Cowan,true
Rhonda Moss DDS,259.0397505,Rhonda,Moss DDS,true
Sarah Williams,92.82627714,Sarah,Williams,false
Carolyn Collins,236.2472888,Carolyn,Collins,true
Larry Mooney,135.2701794,Larry,Mooney,true
Laura Livingston,294.2580699,Laura,Livingston,true
Candace Mckenzie,84.58145758,Candace,Mckenzie,false
Candace Wallace,124.7464543,Candace,Wallace,true
Jason White,218.4318041,Jason,White,true
Patricia Reynolds,89.01176826,Patricia,Reynolds,false
Michael Ellison,244.4717106,Michael,Ellison,true
Melissa Robles,238.4560967,Melissa,Robles,true
Heidi Fry,109.6264717,Heidi,Fry,true
James Smith,163.9573856,James,Smith,true
Charles Ruiz,48.45811847,Charles,Ruiz,false
Stephanie Green DDS,9.144974191,Stephanie,Green DDS,false
Stacey Garcia,106.6192039,Stacey,Garcia,true
Glenda Burke,206.3635063,Glenda,Burke,true
Zachary Alvarez,104.052369,Zachary,Alvarez,true
Rachel Shaw,2.448211506,Rachel,Shaw,false
Carmen Beard,269.623685,Carmen,Beard,true
Tony Daniels,186.9035775,Tony,Daniels,true
Randy Mora,70.74105982,Randy,Mora,false
George Aguirre,128.9497508,George,Aguirre,true
James Miller,297.0405639,James,Miller,true
Jacqueline Williams,17.30622156,Jacqueline,Williams,false
April Taylor,121.2898903,April,Taylor,true
Robert Johnson,131.6237779,Robert,Johnson,true
Gary White,280.9706506,Gary,White,true
Kim Lowe,192.7758756,Kim,Lowe,true
Samantha Jones,136.3415564,Samantha,Jones,true
Randy Lozano,16.30104965,Randy,Lozano,false
Arthur Chavez,6.903795238,Arthur,Chavez,false
Melissa Miller,162.6066945,Melissa,Miller,true
Leslie Mccormick,282.5021066,Leslie,Mccormick,true
Carlos Rubio,63.21802404,Carlos,Rubio,false
David York,86.53219266,David,York,false
Gabriella Anthony,7.638645405,Gabriella,Anthony,false
Olivia Poole,117.854172,Olivia,Poole,true
Wayne Wilson,74.67047228,Wayne,Wilson,false
Elizabeth Moore,267.3988136,Elizabeth,Moore,true
Janice Campbell,33.4533981,Janice,Campbell,false
Julie Johnson,63.64156782,Julie,Johnson,false
Misty Cantrell,189.0392091,Misty,Cantrell,true
Robert Soto,109.0138357,Robert,Soto,true
Brenda Cowan,60.84957659,Brenda,Cowan,false
Kelly Guerrero,259.5112157,Kelly,Guerrero,true
David Nichols,19.48524858,David,Nichols,false
Kayla Taylor,186.2356283,Kayla,Taylor,true
Antonio Garcia,125.4772126,Antonio,Garcia,true
Tyler Cisneros,186.5898295,Tyler,Cisneros,true
Jillian Crawford,158.8172773,Jillian,Crawford,true
Karl Pierce,132.7746811,Karl,Pierce,true
Joann Taylor,276.9621962,Joann,Taylor,true
Jennifer Jenkins,59.12858208,Jennifer,Jenkins,false
Nancy Brown,78.87073418,Nancy,Brown,false
Emma Munoz,120.8428757,Emma,Munoz,true
Shawn Galloway,141.0298622,Shawn,Galloway,true
Melissa Mcguire,213.0821204,Melissa,Mcguire,true
Bryan Chavez,125.396156,Bryan,Chavez,true
Fernando Salazar,256.1537305,Fernando,Salazar,true
Megan Moore,251.3477985,Megan,Moore,true
Robert Williams,175.209725,Robert,Williams,true
Dennis Sanford,29.45043264,Dennis,Sanford,false
Kimberly Herrera,154.8076505,Kimberly,Herrera,true
Gloria Potts,289.1049353,Gloria,Potts,true
Suzanne Barnett,8.470995351,Suzanne,Barnett,false
Leah Myers,44.5579739,Leah,Myers,false
Kylie Thomas,13.45341602,Kylie,Thomas,false
Amanda Murphy,50.55321552,Amanda,Murphy,false
Christopher Matthews,282.3634971,Christopher,Matthews,true
Nicole Parks,52.28399767,Nicole,Parks,false
Bobby Martin,205.4899695,Bobby,Martin,true
Kevin Chambers,121.1711016,Kevin,Chambers,true
Kimberly Lawson,250.2880742,Kimberly,Lawson,true
Rachel Lopez,101.8881123,Rachel,Lopez,true
Christopher Clay,219.3845088,Christopher,Clay,true
Daniel Martin,.30019336,Daniel,Martin,false
William Taylor,66.55747014,William,Taylor,false
Steven Johnson,111.293282,Steven,Johnson,true
Daniel Miller,80.57756789,Daniel,Miller,false
Taylor Bryant,187.6315408,Taylor,Bryant,true
Lauren Jones,194.7926312,Lauren,Jones,true
Lindsey Robertson,22.73764686,Lindsey,Robertson,false
Allison Thomas,168.3334975,Allison,Thomas,true
Vernon Bishop,216.1870446,Vernon,Bishop,true
Susan Parsons,132.918526,Susan,Parsons,true
Brady Snyder,210.3960863,Brady,Snyder,true
Brent Mcgrath,174.6983567,Brent,Mcgrath,true
Peter Smith,278.6080181,Peter,Smith,true
Deborah Fox,248.1228234,Deborah,Fox,true
Heather Collins,147.4274074,Heather,Collins,true
Phillip Meyers,102.7977472,Phillip,Meyers,true
Nicholas Hubbard,275.4008364,Nicholas,Hubbard,true
Misty Ramirez,62.31681444,Misty,Ramirez,false
Scott Johnson,85.87388958,Scott,Johnson,false
Jay Nixon,253.4674787,Jay,Nixon,true
Tony Hall,61.19716522,Tony,Hall,false
Taylor Smith,41.49264584,Taylor,Smith,false
Mark Reynolds,70.49794436,Mark,Reynolds,false
Marilyn Christensen,155.4854533,Marilyn,Christensen,true
Denise Atkins,185.451601,Denise,Atkins,true
Melissa Gonzales,228.0025997,Melissa,Gonzales,true
Henry Hoffman,229.6628876,Henry,Hoffman,true
Daisy Davenport,59.52753518,Daisy,Davenport,false
Christopher Paul,122.7131699,Christopher,Paul,true
Kevin Craig,148.2010516,Kevin,Craig,true
Natalie Coleman,122.1440452,Natalie,Coleman,true
Jeremy Strickland,130.8435662,Jeremy,Strickland,true
Gary Bonilla,162.6152534,Gary,Bonilla,true
Amanda Richards,236.5957164,Amanda,Richards,true
Heidi Perez,245.1757228,Heidi,Perez,true
Robert Johnson,174.6922346,Robert,Johnson,true
Gary Mills,183.8363212,Gary,Mills,true
Chelsea Caldwell,16.12083718,Chelsea,Caldwell,false
John Frye,223.2774175,John,Frye,true
Michael Strong,220.4122322,Michael,Strong,true
Christopher Delgado,85.78279752,Christopher,Delgado,false
Whitney Wallace,253.4556183,Whitney,Wallace,true
Rebecca Martinez,59.68320226,Rebecca,Martinez,false
Marissa Mccoy,116.9634653,Marissa,Mccoy,true
Ricky Kerr,38.99584409,Ricky,Kerr,false
Anna Campbell,249.9213404,Anna,Campbell,true
Marie Walters,73.38808729,Marie,Walters,false
Robert Martin,38.22288302,Robert,Martin,false
Marc Davis,162.2802619,Marc,Davis,true
James Dixon,159.3794328,James,Dixon,true
Vicki Ramirez,186.1602427,Vicki,Ramirez,true
Krista Campbell,161.2338436,Krista,Campbell,true
Lauren Patterson,170.2123273,Lauren,Patterson,true
Megan Clark,290.2581556,Megan,Clark,true
Judy Zimmerman,219.5888255,Judy,Zimmerman,true
Joseph Williams MD,210.7841859,Joseph,Williams MD,true
Lori Acevedo,210.6602899,Lori,Acevedo,true
William Taylor,275.6331763,William,Taylor,true
Dawn Snyder,248.9840417,Dawn,Snyder,true
Jennifer Simmons,80.68353707,Jennifer,Simmons,false
Alyssa Nunez,163.8009002,Alyssa,Nunez,true
Robert Black,63.92800482,Robert,Black,false
Julia Young,239.2396683,Julia,Young,true
Melinda Barnes,227.2506352,Melinda,Barnes,true
Mr. Brett Armstrong,154.1341836,Mr.,Brett Armstrong,true
Erik Stevenson,246.0040722,Erik,Stevenson,true
Daniel George,34.80089308,Daniel,George,false
Lindsey Jones,197.7020395,Lindsey,Jones,true
Virginia Lopez,227.4255915,Virginia,Lopez,true
Andrew Brown,92.88318049,Andrew,Brown,false
Donna Lowery,264.8326094,Donna,Lowery,true
Alexis Andrade,6.313985183,Alexis,Andrade,false
Alyssa Pierce,47.74032516,Alyssa,Pierce,false
Tara Johnson,38.26768696,Tara,Johnson,false
Michael Brady,162.0594322,Michael,Brady,true
James Rhodes,51.92414009,James,Rhodes,false
Pamela Scott,42.43333392,Pamela,Scott,false
Martin Ward,170.9498248,Martin,Ward,true
Kristina Hernandez,107.6915718,Kristina,Hernandez,true
Robert Bush,87.18004191,Robert,Bush,false
Rebecca Larson,214.3895725,Rebecca,Larson,true
Brittany Watson,190.520018,Brittany,Watson,true
Ryan Ramirez,249.7287913,Ryan,Ramirez,true
Edward Burns,87.64996993,Edward,Burns,false
John Prince,31.73842034,John,Prince,false
Ashley Boyer,107.6625992,Ashley,Boyer,true
James Dean,61.6954542,James,Dean,false
Natalie Gordon,268.2800094,Natalie,Gordon,true
Ryan Smith,136.207813,Ryan,Smith,true
Stephen Thompson,54.29639714,Stephen,Thompson,false
William Delgado,96.25442517,William,Delgado,false
Brian Johnson,124.929208,Brian,Johnson,true
James Patel,216.6056429,James,Patel,true
Allen Rogers,145.4342467,Allen,Rogers,true
Aimee Reyes,277.6656815,Aimee,Reyes,true
Susan Williams,255.2153532,Susan,Williams,true
Edward Griffin,108.6205222,Edward,Griffin,true
Debra Baker,296.5003089,Debra,Baker,true
Yvette Kramer,279.9371174,Yvette,Kramer,true
Alyssa Williams DVM,270.8972241,Alyssa,Williams DVM,true
John Cunningham,173.0242833,John,Cunningham,true
Dana Gilbert,86.51917139,Dana,Gilbert,false
Stephen Henry,146.1515578,Stephen,Henry,true
Bradley James,137.9824935,Bradley,James,true
Melinda Peters,16.83003044,Melinda,Peters,false
Robert Goodman,213.5423984,Robert,Goodman,true
Leslie Moore,195.9630799,Leslie,Moore,true
Sarah Gray,270.7947288,Sarah,Gray,true
Amy Haynes,258.5062773,Amy,Haynes,true
Gary Dean,184.425152,Gary,Dean,true
Jonathan Duran,224.5361417,Jonathan,Duran,true
Elizabeth Ruiz,124.6694495,Elizabeth,Ruiz,true
Caitlin Lewis,196.3598959,Caitlin,Lewis,true
Micheal Blackburn,10.44317525,Micheal,Blackburn,false
Sheryl Mccarthy,159.9519731,Sheryl,Mccarthy,true
Lisa Smith,150.9122679,Lisa,Smith,true
Jared Juarez,247.5606457,Jared,Juarez,true
Brett Castro,217.3328585,Brett,Castro,true
Jessica Murray,175.3022184,Jessica,Murray,true
Austin Coffey,16.25913962,Austin,Coffey,false
Shelly Jacobs,3.856762052,Shelly,Jacobs,false
Elizabeth Logan,298.7423281,Elizabeth,Logan,true
Cody Anderson,128.0814967,Cody,Anderson,true
Kayla Wood,256.052876,Kayla,Wood,true
Paul Singh DDS,157.9636169,Paul,Singh DDS,true
James Mays,245.2433072,James,Mays,true
Thomas Moore,244.5914982,Thomas,Moore,true
Linda Pacheco,299.604007,Linda,Pacheco,true
Jenny Clark,66.32311808,Jenny,Clark,false
Patrick Guzman,223.4965981,Patrick,Guzman,true
Mr. Scott Peters,229.487331,Mr.,Scott Peters,true
John Stevenson,23.09927229,John,Stevenson,false
Kristina Brooks,154.6805826,Kristina,Brooks,true
Nancy Aguilar,63.38787527,Nancy,Aguilar,false
Robert Brown,132.7329536,Robert,Brown,true
Jessica Williams,255.9581577,Jessica,Williams,true
David Brown,290.5944806,David,Brown,true
Dorothy Munoz,242.56454,Dorothy,Munoz,true
Jason Lawson,76.09246622,Jason,Lawson,false
James Hall,167.9698314,James,Hall,true
Patricia Carpenter,46.08147123,Patricia,Carpenter,false
Jeff Cardenas,64.36052627,Jeff,Cardenas,false
Michelle Johnson,19.18945036,Michelle,Johnson,false
Frank Madden,17.34021424,Frank,Madden,false
George Tanner,291.4292653,George,Tanner,true
Dylan Johnson,40.65328581,Dylan,Johnson,false
Pamela King,282.4817647,Pamela,King,true
Jesse Frazier,95.66568525,Jesse,Frazier,false
Edward Russell,103.2235913,Edward,Russell,true
Diana Mcdonald,183.096436,Diana,Mcdonald,true
Randy Dawson,192.1441514,Randy,Dawson,true
Jasmine Williams,286.1692336,Jasmine,Williams,true
Robert Smith,124.219007,Robert,Smith,true
Sara Young,183.9944858,Sara,Young,true
Samantha Gonzalez,205.5899257,Samantha,Gonzalez,true
Christina Torres,286.2681619,Christina,Torres,true
Maria Bailey,141.9076294,Maria,Bailey,true
Charles Bartlett,94.22658657,Charles,Bartlett,false
Natalie Parker,238.0161589,Natalie,Parker,true
Paula Hernandez DDS,48.88381678,Paula,Hernandez DDS,false
Jessica Jenkins,14.94777896,Jessica,Jenkins,false
Drew Henson,223.0761309,Drew,Henson,true
Michael Davis,17.98090899,Michael,Davis,false
Ian Ramos,23.68465648,Ian,Ramos,false
Anna Wright,235.5824596,Anna,Wright,true
Ashley Anderson,74.40865878,Ashley,Anderson,false
Jennifer Wright,298.1278773,Jennifer,Wright,true
Nicole Lopez,67.72888616,Nicole,Lopez,false
Tara Ellis,21.92761435,Tara,Ellis,false
Hannah Elliott,42.35003061,Hannah,Elliott,false
Gavin Rodriguez,116.3664242,Gavin,Rodriguez,true
Johnny Jackson,291.5968901,Johnny,Jackson,true
Martin Garrett,147.0670556,Martin,Garrett,true
Terri Hayes,167.3609673,Terri,Hayes,true
Adam Huang,260.8409357,Adam,Huang,true
Carolyn Garner,104.4106535,Carolyn,Garner,true
Lisa Lee,130.2202511,Lisa,Lee,true
Rodney Escobar,8.711600244,Rodney,Escobar,false
Michael Johnson,144.5450063,Michael,Johnson,true
Michelle Carter DVM,55.94822858,Michelle,Carter DVM,false
John Dunn,81.5436983,John,Dunn,false
Terry Pierce,297.8661824,Terry,Pierce,true
David Buck,258.7910904,David,Buck,true
Jennifer Newman,149.3096363,Jennifer,Newman,true
Cynthia Lee,246.5934196,Cynthia,Lee,true
Sylvia Clark,299.5252351,Sylvia,Clark,true
Joseph Taylor,86.08285036,Joseph,Taylor,false
Kathleen Barton,37.4218087,Kathleen,Barton,false
Michael Harris Jr.,52.86340979,Michael,Harris Jr.,false
Eric Benson,172.1967218,Eric,Benson,true
Curtis Butler,44.51322087,Curtis,Butler,false
Brittany Le,51.04878875,Brittany,Le,false
Jeremiah Sims,101.161794,Jeremiah,Sims,true
David Davis,290.4227547,David,Davis,true
Tiffany Bond,181.4895479,Tiffany,Bond,true
Patricia Chen,61.60059465,Patricia,Chen,false
William Crawford,181.7603749,William,Crawford,true
Christina Roberts,29.28680092,Christina,Roberts,false
Jerome Scott,232.1441336,Jerome,Scott,true
Jeffery Walker,272.0840276,Jeffery,Walker,true
Todd Alvarez,212.1733632,Todd,Alvarez,true
John Henry,223.9911858,John,Henry,true
James Miles,156.3675778,James,Miles,true
Michael Downs,31.19720611,Michael,Downs,false
Kayla Wheeler,6.095911005,Kayla,Wheeler,false
Charles Martin,161.2752287,Charles,Martin,true
Harold Bennett,135.042355,Harold,Bennett,true
Michael Swanson,200.3923528,Michael,Swanson,true
Janet Mcdonald,79.80353707,Janet,Mcdonald,false
Brett Willis,244.4064115,Brett,Willis,true
Jacob Smith,27.92322882,Jacob,Smith,false
Alexa Webb,167.5688585,Alexa,Webb,true
Louis Klein,40.12200004,Louis,Klein,false
Tony Yu,15.74238645,Tony,Yu,false
Lisa Goodman,121.0784096,Lisa,Goodman,true
Kimberly Hernandez,36.97352302,Kimberly,Hernandez,false
Phillip Friedman,145.8418308,Phillip,Friedman,true
Brian Lam,2.900394487,Brian,Lam,false
Kristin Wilkins,251.8510287,Kristin,Wilkins,true
Joshua Lynch,188.878111,Joshua,Lynch,true
Blake Mclaughlin,276.6512157,Blake,Mclaughlin,true
Billy Olsen,10.00480704,Billy,Olsen,false
Shawn Brock,179.6158086,Shawn,Brock,true
Danielle Jones,222.6952076,Danielle,Jones,true
Jim Gomez,60.12919733,Jim,Gomez,false
Sabrina Henderson,178.7453853,Sabrina,Henderson,true
David Pennington,245.3184012,David,Pennington,true
Deborah Williams,137.015971,Deborah,Williams,true
Stephanie Bowman,227.0047204,Stephanie,Bowman,true
Joseph Frazier,176.4533023,Joseph,Frazier,true
Ryan Mclaughlin,249.864376,Ryan,Mclaughlin,true
Tony Hall,135.8550959,Tony,Hall,true
Timothy Martin,289.2653637,Timothy,Martin,true
John Obrien,261.8481216,John,Obrien,true
Barbara Johnson,53.80589508,Barbara,Johnson,false
Brandon Marshall,139.8477827,Brandon,Marshall,true
Carrie Miller,11.55550873,Carrie,Miller,false
Samantha Dean,261.6193407,Samantha,Dean,true
Jamie Wilson,87.74932378,Jamie,Wilson,false
Carlos Acosta,236.6035296,Carlos,Acosta,true
Amy Bennett,228.7494578,Amy,Bennett,true
Dominique Wells,116.6435954,Dominique,Wells,true
Sarah Bright,237.5160783,Sarah,Bright,true
Michael Barton,111.5883392,Michael,Barton,true
Rebecca Anderson,172.3062642,Rebecca,Anderson,true
Megan Riggs,31.41542458,Megan,Riggs,false
Whitney Andrews,44.1176993,Whitney,Andrews,false
Catherine Jones,127.0135122,Catherine,Jones,true
William Andrews,236.2180763,William,Andrews,true
Kathleen Edwards,158.3239538,Kathleen,Edwards,true
Roger Frost,220.4688874,Roger,Frost,true
Justin Johnson,255.8491608,Justin,Johnson,true
Valerie Young,265.1702577,Valerie,Young,true
Samantha Perez,239.9469797,Samantha,Perez,true
Devin Allen,72.15833791,Devin,Allen,false
Stephanie Little,238.9238728,Stephanie,Little,true
Melanie Miller,27.5070475,Melanie,Miller,false
Erica Beck,2.408526397,Erica,Beck,false
Toni Dunn,168.373362,Toni,Dunn,true
Eric Dunn,211.8975891,Eric,Dunn,true
David Jackson,169.3550529,David,Jackson,true
Melanie Gates,94.66629008,Melanie,Gates,false
Heather Pierce,17.41061969,Heather,Pierce,false
Jordan Lewis,153.0146174,Jordan,Lewis,true
Michele Johnson,255.7149801,Michele,Johnson,true
Samantha Ryan,249.4925261,Samantha,Ryan,true
Christopher Hudson,201.9997518,Christopher,Hudson,true
Zachary Williams,106.5992164,Zachary,Williams,true
Donna Davis,66.72879991,Donna,Davis,false
Jordan Erickson,237.7720748,Jordan,Erickson,true
Christopher Nolan,88.7427826,Christopher,Nolan,false
Evelyn Hanna,11.36458787,Evelyn,Hanna,false
Jason Johnson,250.2314702,Jason,Johnson,true
Barbara Caldwell,224.7115849,Barbara,Caldwell,true
Ronald Huff,7.220543464,Ronald,Huff,false
Holly Norris,216.2305109,Holly,Norris,true
Derrick Carter,11.83791299,Derrick,Carter,false
Kenneth Golden,285.8508169,Kenneth,Golden,true
Grace Edwards,70.08655795,Grace,Edwards,false
Jonathan Rios,57.71259736,Jonathan,Rios,false
Mackenzie Miller,265.5941732,Mackenzie,Miller,true
Tammy Taylor,138.8559857,Tammy,Taylor,true
Reginald King,207.3305606,Reginald,King,true
Matthew Fletcher,130.5591612,Matthew,Fletcher,true
Elizabeth Jordan,177.7124355,Elizabeth,Jordan,true
Sally Santiago,45.11902986,Sally,Santiago,false
James Johnson,12.89573538,James,Johnson,false
Jason Saunders,242.8437386,Jason,Saunders,true
Carol Hernandez,4.624370641,Carol,Hernandez,false
Kendra Dawson,291.5212704,Kendra,Dawson,true
James Hess DDS,58.42698092,James,Hess DDS,false
Michael Stokes,25.51886602,Michael,Stokes,false
Jeffrey Martinez,147.6903791,Jeffrey,Martinez,true
Joseph Bell,102.9874282,Joseph,Bell,true
Pamela Black,140.719389,Pamela,Black,true
Robert Jordan,100.4711011,Robert,Jordan,true
Kathy Baker,263.5511899,Kathy,Baker,true
Brian Bailey,115.3628316,Brian,Bailey,true
Mitchell Clark,190.2857937,Mitchell,Clark,true
Kelly Mcintyre,168.7344269,Kelly,Mcintyre,true
Susan Ali,260.5821259,Susan,Ali,true
Latoya Gonzales,205.0424222,Latoya,Gonzales,true
Olivia Mayo,251.5393163,Olivia,Mayo,true
Thomas Anderson,221.0320214,Thomas,Anderson,true
Todd Jennings,182.3938507,Todd,Jennings,true
Paul Dixon,22.25760841,Paul,Dixon,false
Julie Torres,130.6787559,Julie,Torres,true
James Miller,202.2296492,James,Miller,true
John Howard,80.73869922,John,Howard,false
